"Title","ID","Created Date","Updated Date","Owner","performanceFeature","index"
"High efficiency drivers giving dynamic headroom, high SPL and low amplifier count","e7a64bfd-58d2-4865-a99d-a5777665d7e0",2024-04-02T17:34:35Z,2024-06-07T12:29:14Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","d2830769-c521-43f2-8e1a-0ca73ad65023",8
"High output from moderately sized enclosure","e8ab0a25-5368-4c95-92ea-71720538c243",2024-04-02T17:34:36Z,2024-06-07T12:29:14Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","add270f2-45ce-4e5e-96cd-26e690f6e009",7
"Passive option available","e944bc07-e191-4491-8c25-a10f858a78f3",2024-04-02T17:34:35Z,2024-06-07T12:29:14Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","4ef0ab5b-cc65-401f-862b-93fbce42fa9e",5
"Optional internal studding for suspending with mid-high loudspeakers (specified on order)","eb46106a-afd9-4e08-8595-83ed74fba268",2024-04-02T17:34:37Z,2024-06-07T12:29:14Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","a30c8ab0-f0a7-4860-b952-62f506ebd2c7",5
"Three-way","eb4e8f0c-84f9-4e82-90e2-1be66febff28",2024-04-02T17:34:37Z,2024-06-07T12:29:14Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","4e42a04d-0033-43c2-8c2c-b44c30442a4d",7
"Powersoft linear motor and integrated 15kW M-Drive amplifier","ed28cc5f-f783-49d7-a06e-4c1befba3aac",2024-04-02T17:34:35Z,2024-06-07T12:29:14Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","9d8c36ef-5269-422f-a28b-eb5b1b817e19",7
"Optional scrim for discreet appearance","ee4d957e-136c-472a-8753-b97a8e52c2a8",2024-04-02T17:34:35Z,2024-06-07T12:29:14Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","ef6f25ae-9f89-4d11-b721-35c398242366",7
"Wide bandwidth 8'' eliminates need for 1'' compression driver and passive crossover network","ef345332-701e-423d-bf75-7236672119e5",2024-04-02T17:34:37Z,2024-06-07T12:29:14Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","5ddd4291-a46a-4e46-92dc-282995149447",7
"18mm Birch Ply","efb47d19-0b02-4d2a-9920-5c3c94adf2dc",2024-04-02T17:34:36Z,2024-06-07T12:29:14Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","d8bb19ea-3ae8-490e-9206-b844538573b3",9
"High power, high accuracy point source monitoring","efe450f8-15e5-41f4-9cbf-9e06158631ae",2024-04-02T17:34:37Z,2024-06-07T12:29:14Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","c11b836b-523a-4907-857b-a82742187f99",8
"Various mounting/rigging options (yoke, wall bracket)","f077df01-5ec5-453a-a9e1-f97efd1ec276",2024-04-02T17:34:36Z,2024-06-07T12:29:14Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","c1baec55-9e22-4b38-b580-da2ee62895eb",7
"Optional wheels available","f0854ebd-4ccb-48ed-880b-68fa67df02d5",2024-04-02T17:34:36Z,2024-06-07T12:29:14Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","7abd34a0-bab7-4354-b07f-0e473dfa3190",2
"New driver orientation provides improved cooling","f098be14-184b-46b5-97ec-daaede2cba8d",2024-04-02T17:34:36Z,2024-06-07T12:29:14Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","dabc38ca-00a7-487d-9de0-4a39bc684043",6
"Self-powered version available (SB8A) with satellite outputs for 2x F5.2","f260bbdf-09b2-4c16-a198-c07c84f7b70e",2024-04-02T17:34:37Z,2024-06-07T12:29:14Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","634cc833-e3b8-4efa-86e7-6479244bedfa",4
"Integrated 35mm pole mount","f2a4176a-d989-40a1-806c-bf64acdfe6b6",2024-04-02T17:34:36Z,2024-06-07T12:29:14Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","c1baec55-9e22-4b38-b580-da2ee62895eb",8
"Integral handles","f2f3dfc2-b7d1-464a-bf96-623fcf683ac6",2024-04-02T17:34:35Z,2024-06-07T12:29:14Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","d25b3174-63dc-4ee0-914b-499fb4722628",4
"Flying version available","f30a04af-181f-4e66-a123-3ee76fa9d596",2024-04-02T17:34:35Z,2024-06-07T12:29:14Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","c5531690-1ac9-4264-847a-0c0ab243b9ba",5
