"ID","Created Date","Updated Date","Owner","description","longDescription","imagePath","product"
"3a5c34b9-ea00-4dc8-9369-95660c3b98c2",2024-04-02T17:19:09Z,2024-04-02T17:19:09Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","Vero V315 is the mid-bass element in the Vero system.","The horn loaded triple 15” design gives musical fundamentals the clarity and authority they deserve. Drums have “punch” and power, and bass has articulation and rhythm.The modular design of Vero gives the system designer an extra dimension of flexibility and control, alongside vertical angle settings. The sound field can be precisely tailored to the venue, and acoustically controlled without beam steering or DSP.","https://images.prismic.io/funktion-one/f4399087-09eb-44c3-bd99-0122bd0a5453_V315_Website_Product.png?auto=compress,format&w=2304","f5ec735c-7ba0-4e52-b207-465bab52e491"
"3adcdfd5-d9eb-4859-9c74-5a7280693882",2024-04-02T17:19:08Z,2024-04-02T17:19:08Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","The V90 is the wide dispersion mid-high element in the Vero system for near and medium distances.","The modular design of Vero gives the system designer an extra dimension of flexibility and control, alongside vertical angle settings. This means that the sound field can be precisely tailored to the venue, and acoustically controlled without beam steering or DSP.It has a nominal directivity of 90° horizontal and 12° vertical with a frequency response of 200Hz to 18kHz. It comprises two 10"" Neodymium mid drivers and two 1.4"" Neodymium HF drivers in a horizontally symmetric configuration.","https://images.prismic.io/funktion-one/e996fb3f-d239-4ced-90b9-a43b69738115_V90_Website_Product.png?auto=compress,format&w=2304","904044a9-6c1f-4197-9ff3-286e03777601"
"3c696b96-2d2a-46c1-9e12-c3063f62a86f",2024-04-02T17:19:08Z,2024-04-02T17:19:08Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","Res 1.5TT is a two-way enclosure specifically designed for mid sized venues with low ceiling heights. ","Combining twin 12” drivers as used in the Res 1 with the 90° dispersion 5“ from the Res 1.5, the Res 1.5TT can be neatly installed tight against a ceiling providing good coverage due to the built-in downward angle of the devices. Res 1.5TT's powerful bass response can be further extended with a wide range of Funktion-One bass enclosures, particularly the BR Range and F Series.","https://images.prismic.io/funktion-one/1845b853-e4f9-4934-92b4-21e96ed3500d_Res+1.5TT.png?auto=compress,format&w=2304","b0a04f5c-9850-4ee5-8e08-8d244800baae"
"55847d42-b745-44b0-b816-f62af7219076",2024-04-02T17:19:09Z,2024-04-02T17:19:09Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","Evo 7T is a very high intensity touring loudspeaker, fully horn-loaded with 15” mid-bass, 10” Funktion-One signature mid-range and a 1.4” compression driver featuring integrated flying hardware.","It has 40° nominal horizontal dispersion and physically arrays at 30°, three wide giving smooth coverage to 100°. The Evo 7T, 7TH and 7TL-215 enclosures all share the same integrated flying system for fast, accurate and effective rigging or ground-stack deployment. Perfect for both live and DJ, Evo 7T touring systems offer state-of-the-art Funktion-One sound quality.  ","https://images.prismic.io/funktion-one/2adafd79-d552-419b-a2f0-fe34c8ad951f_Evo7T_Website_FeatureProduct.png?auto=compress,format&w=2304","d835f41e-8fec-4744-b19b-f59e719d780f"
"616ce78a-682f-4ddb-9457-527640df6814",2024-04-02T17:19:08Z,2024-04-02T17:19:08Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","F124 features two voice coils and intense magnetic flux, which control the 24” cone with impressive accuracy.","This combination of mid-bass speed and impact with low-bass extension from a single enclosure makes the F124 the perfect bass partner for Evo systems and other Funktion-One mid-high products. The F124 delivers excellent transient response and extended depth to below 30Hz.","https://images.prismic.io/funktion-one/2dcf1918-45f7-4675-8e43-b59e2229b16f_F124.png?auto=compress,format&w=2304","8cbd897b-c3aa-458a-b301-79c268153ac3"
"6a41e326-ef58-4964-b3c4-0e488d954d9f",2024-04-02T17:19:08Z,2024-04-02T17:19:08Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","Evo X is a significant development of the full range, fully horn loaded cabinet concept. Utilising the latest Funktion-One waveguide technology, Evo X provides 90° dispersion and higher SPL.","Evo X's advanced driver technology delivers market leading resolution and detail. It is an unbeatable choice for live venues, small club spaces and theatres. Capable of high SPL from a relatively compact enclosure, use as a pair for small live music events or as a four point small club system. Combine with the F Series or BR Range of bass loudspeakers for increased low frequency energy.","https://images.prismic.io/funktion-one/6dd0ea8b-db3d-4fbd-bc36-22626c2ed050_Evo+X+Product+Page.png?auto=compress,format&w=2304","367875ea-ebb7-47cf-9548-8b45d3c6679c"
"6a4760fd-4b3d-46f4-85f6-0b1e63347850",2024-04-02T17:19:08Z,2024-04-02T17:19:08Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","BR (Bass Reflex) range is recommended for indoor venues and smaller outdoor events, where Funktion-One's signature bass sound is required at close range.","BR221 provides deep bass extension and high output.Excellent results when paired with the Evo 6E for a medium club system.","https://theoffice.fra1.cdn.digitaloceanspaces.com/funktion-one-logo.jpg","3fbce079-f7db-4b07-a082-31ab88947fdb"
"6a67aadb-8de3-4dde-9631-166561ef92fb",2024-04-02T17:19:08Z,2024-04-02T17:19:08Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","V221 is an exceptionally efficient high-intensity bass enclosure.","V221 is the proven choice for large scale events, with exceptionally high sensitivity and electroacoustic energy efficiency.V221 provides bass power and dynamics for large areas, typically requiring far fewer cabinets and amplifiers than an equivalent direct radiating bass array, resulting in significant reductions in power consumption and CO2 emissions.Equally suited to large mono bass stacks and broadside arrays, both conventional and cardioid. V221 cardioid arrays have up to 30dB rear rejection in optimal configurations.The ideal bass solution for Vero and VX systems.","https://images.prismic.io/funktion-one/e729d574-012d-4320-bb8b-a06ef3395a65_V221_Website_Product.png?auto=compress,format&w=2304","7e72e73e-e941-4c4e-ad77-15fdee807d9c"
"748ed94f-7f8a-42ab-8535-6a1da327084f",2024-04-02T17:19:08Z,2024-04-02T17:19:08Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","F115 MkII is a compact horn-loaded bass enclosure.","The single 15” version of the F215 MkII, the F115 MkII features refined loading, improved heat dissipation and an updated driver specification. The F115 MKII provides strong, well-defined, clean bass from a small and manageable package. ","https://images.prismic.io/funktion-one/66e27c96-4bff-45c1-8551-78dadee658b9_F115+2.png?auto=compress,format&w=2304","3a30e712-fc9e-438b-b75c-4c797adf0d8a"
"74b422b7-5cb3-4e58-aaf7-d01218976dd2",2024-04-02T17:19:08Z,2024-04-02T17:19:08Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","Infrahorn is a waveguide which can be used in conjunction with a pair of Infrabass 218s for applications with extreme low-frequency bass requirements. ","When bolted directly to the front of two Infrabass, the waveguide increases the output of the pair by up to 10dB at 33Hz. The additional loading provided by the Infrahorn significantly enhances both the efficiency and directivity of the Infrabass. Double Infrahorns can be used singly or stacked above each other in multiples to produce unprecedented low-bass performance. Where space permits, the Double Infrahorn represents a cost effective way of maximising Infrabass output, whether within the installed environment or for outdoor arenas.Typically used with F218, DS15 and DS210 in Dance Stack configurations.","https://images.prismic.io/funktion-one/299ec878-4742-4b55-98fa-d6745ca44ec5_Infrahorn.png?auto=compress,format&w=2304","8aa87940-3616-483f-8390-0e9a92c7c6c3"
